id,URL,Created Date,Likes,Comments,Shares,Description,Link,Group Name,
475100886335230_505766083268710,https://www.facebook.com/groups/475100886335230/permalink/505766083268710/,12/27/2018 9:59:17 PM,5,0,0,OH MY. I mean what could Congress do? Could THEY actually beg " NO Mr. President  please don't???". And if this is true  and HE actually can fund it what did this shutdown prove???.................  It's time for Patriot Don to drop the title for a few minutes  borrowing from the genius Dave Chappelle; I wanna "keep it real". SO  it's just wittle ole me. Donald. The average citizen. Your fellow countryman. Your neighbor. I am perplexed and somewhat curious. I actually have less and less concern lately about Twatgoblin or Senile Nancy  Chucky Poo or Flakey Flake. I am curious about people that support them as most of my brothers and sisters are. So  I wanna ask....  It's becoming more and more blaringly obvious that President Trump truly is doing everything in his power to try and help this country. I have long believed it  many of my family and friends believe it and there's mountain upon mountain of evidence to prove it. Despite that  he's fighting uphill battle daily; hourly. And he's actually NOT just doing it for me  for my friends and family but for The Idiot Nation too. WE are working for everyone  that means ALL of us. Which offers the biggie......... WHY? I mean a lot of why's too.      Why support the Democrats and Rhinos that are hell bent on his destruction and the destruction of this Republic? At least that's what is in progress. Lemme explain.........  There's NO Russian Collusion. WE all know that  if you slip up and cheated on YOUR taxes or lied to special counsel there's definitely an indictment but there's no "there there". Why oppose America First when YOU and YOUR family are also reaping the benefits of his leadership. And YOU are very aware of that. You are also aware of what THEY tried with Clapper  Lynch  Comey  Ohr  McCabe  Stryzok and Page and haven't said a peep. YOU are aware of the dossier  who paid for it and why. THEY aren't denying it. The evidence is there. And from YOU there's ONLY  silence. You are aware had THEY actually succeeded this country wouldn't exist and YOUR rights  my right's  everyone's rights aren't worth the paper they are written on. I know you're aware of that. The Supreme Court would've been nothing more than a kangaroo court and our precious Constitution would be an antique relic of the past. In a sentence  it would have been mob rules. The individual wouldn't count. Is that YOUR America???   Silence about what wrongs occurred with Kavanaugh  just pissed off he actually made it. Why??? These people made a circus of that hearing and the amount of LIES that were told by the accusers and ranking Democrats and NOT a word from YOU. WHY??  Or what about this last election debacle? Surely you know what happened in Florida and Georgia. YOU are aware that the one's that you support actually tried to steal an election in multiple states aren't YOU? What about Omarosa? What about the mail bomb dude? Or Avanatti?? What about Keith Ellison?? He was elected anyway. What does that say about people that support them????   Look at everything he is trying to do or has done and for what? So that The Democratic Party Leadership can lie  cheat  steal to get THEIR way. And YOU actually continue to support it. Wish for the failures?? Seriously???  You are in hope's that our borders remain open allowing violence  drugs  guns  who knows what to continue unabaded? Do you really want us disarmed? Are you really counting on the stock market to crash to hurt him? It's no longer about those morons trying to destroy this country. WE are asking about those that support them. DO YOU LOVE THIS COUNTRY?   After all...... These are honest questions. Think on that for a while. WE do almost every single day. Are WE really so different that YOU don't see this?? It's okay to oppose or have different views but people.. this is borderline wanting to overthrow a Republic.   He's actually working for YOU to. Like it or NOT. I don't always agree with the man but GOD knows HE is trying. WAKE UP. I pray this is true and part of a plan to further expose those that support the destruction of this Republic and bring them to justice. That's my prayers and I pray that YOU come with us. Please. It's our country too.,https://patriotjournal.org/trump-ditch-congress-wall/?fbclid=IwAR0SBqBJ5dhiJz__N5jYZHfMpCJ0jhbbKJSjvzThu-6BX9H0XaroXKN2s70,#Walkaway Blue States,
475100886335230_505681466610505,https://www.facebook.com/groups/475100886335230/permalink/505681466610505/,12/27/2018 5:12:33 PM,3,0,0,https://youtu.be/brCtmWH9VeY,https://youtu.be/brCtmWH9VeY,#Walkaway Blue States,
475100886335230_505137893331529,https://www.facebook.com/groups/475100886335230/permalink/505137893331529/,12/26/2018 2:37:03 PM,2,0,0,EU SOCIALISTS DON'T WANT TO TALK ABOUT THEIR TAXES THAT PAID FOR OVER 700 MILES OF BORDER BETWEEN TURKEY & SYRIA!! HIPOCRITES!!!! http://www.iamawake.co/the-eu-funded-wall-that-nobody-wants-to-talk-about-turkey-syria/?fbclid=IwAR322aU27wuFHhJUuFq8kGcao8GlQFjv9ZJfiztcoKAijLYWcjgU22WfT0w,http://www.iamawake.co/the-eu-funded-wall-that-nobody-wants-to-talk-about-turkey-syria/?fbclid=IwAR322aU27wuFHhJUuFq8kGcao8GlQFjv9ZJfiztcoKAijLYWcjgU22WfT0w,#Walkaway Blue States,
475100886335230_494766787701973,https://www.facebook.com/groups/475100886335230/permalink/494766787701973/,12/8/2018 3:50:49 PM,1,0,0,UN AGENDA 21 which leads to ONE WORLD GOVT  Share & Watch Video  ,https://m.youtube.com/watch?v=OzoN0IQsTAE&feature=share,#Walkaway Blue States,
475100886335230_489262934919025,https://www.facebook.com/groups/475100886335230/permalink/489262934919025/,11/28/2018 10:47:12 PM,2,0,0,MUST WATCH VIRAL VIDEO THAT CONNECTS ALL DOTS IN DEM SCAMS & WITCH HUNT TO TAKE THEM DOWN! ,https://m.youtube.com/watch?feature=share&v=_aevtHHULag,#Walkaway Blue States,
475100886335230_488509574994361,https://www.facebook.com/groups/475100886335230/permalink/488509574994361/,11/27/2018 12:53:37 PM,1,0,0,THIS IS BIG!!! ELITIST GLOBAL CABAL HAS ENOUGH LEVERAGE THAT BRITAIN IS SURRENDERING TO UNDETERRED OPEN MIGRATION. IS THE USA GOING TO STAND ALONE WITH SOVEREIGNTY?  WILL THAT LEAD TO WAR? THE WORLD IS DEPENDENT AND THREATENED BY LEVERAGE GLOBALIST BANKING CARTEL. I believe Globalists will go to war to take down the threat of Trump revealing all their corruption. This next month is critical for TRUMP TO GET THRUTH OUT ABOUT THE EVIL AND DAMAGE DONE BY GLOBALISTS.,https://voiceofeurope.com/2018/11/british-goverment-breaks-promises-and-will-sign-un-migration-pact/#.W_1CAH4o6-U.twitter,#Walkaway Blue States,
475100886335230_487622298416422,https://www.facebook.com/groups/475100886335230/permalink/487622298416422/,11/25/2018 11:38:47 PM,3,0,0,Fake news is real!  ,https://youtu.be/K3epfCwPowU,#Walkaway Blue States,
475100886335230_487014875143831,https://www.facebook.com/groups/475100886335230/permalink/487014875143831/,11/24/2018 8:49:31 PM,0,5,0,LIVID...FLORIDA WANTS TO GIVE 3 EXCUSED ABSENCES FOR PROTESTING! We know IT WILL BE ALL LIBERAL CAUSES!!  What student isn't going to do that to get a day off from school whether they believe in it or not! ,https://www.wfla.com/1615743482,#Walkaway Blue States,
475100886335230_486264888552163,https://www.facebook.com/groups/475100886335230/permalink/486264888552163/,11/23/2018 11:43:12 AM,2,2,0,https://dmlnews.com/report-tijuana-mayor-demands-international-help-will-not-spend-tijuanans-money-caravan/,https://dmlnews.com/report-tijuana-mayor-demands-international-help-will-not-spend-tijuanans-money-caravan/,#Walkaway Blue States,
475100886335230_487475825097736,https://www.facebook.com/groups/475100886335230/permalink/487475825097736/,11/25/2018 4:32:55 PM,6,0,0,TREASONOUS DETAILS in 30 minutes and you will GET NAMES OF ALL PEOPLE GOING DOWN for ri& WHY WITH CONNECTIONS TO MUELLAR  OBAMA  & CLINTONS!! 61 000 indictments & sending to GITMO READY! ,https://m.youtube.com/watch?feature=share&v=_aevtHHULag,#Walkaway Blue States,
475100886335230_486833415161977,https://www.facebook.com/groups/475100886335230/permalink/486833415161977/,11/24/2018 12:09:00 PM,3,5,0,WOW!!! ELIMINATING PRIVATE PROPERTY is one more step towards NEW WORLD ORDER!!. This will NEVER BE ACCEPTED and United States and we will go to CIVIL WAR over it!! ,https://nypost.com/2017/09/05/a-plea-to-democrats-to-back-anyone-but-de-blasio/,#Walkaway Blue States,
475100886335230_487101748468477,https://www.facebook.com/groups/475100886335230/permalink/487101748468477/,11/25/2018 12:44:52 AM,2,1,0,IT IS SHOW TIME FOR CLINTON FOUNDATION IN DECEMBER & I BELIEVE THEIR CORRUPT DYNASTY WILL COLLAPSE FROM THE WEIGHT OFVTHEIR EVIL ACTS FOR POWER,https://www.coreysdigs.com/clinton-foundation/arkansas-swamp-bleeds-as-clintons-circle-the-drain/,#Walkaway Blue States,
